complex_text,simple_text
"During the war , the ICRC failed to obtain an agreement with Nazi Germany about the treatment of detainees in concentration camps , and it eventually abandoned applying pressure to avoid disrupting its work with POWs . The ICRC also failed to develop a response to reliable information about the extermination camps and the mass killing of European Jews .",The ICRC had to stop complaining about the treatment of detainees in concentration camps in case the ICRC was stopped from working for POWs .
"JosÃ Marcelo Ferreira , aka ZÃ Maria ( born July 25 , 1973 in Oeiras , PiauÃ ) , is a former professional Brazilian footballer and a current manager .",JosÃ Marcelo Ferreira ( born 25 July 1973 ) is a former Brazilian football player .
"On 8 September 2007 , it was announced that Fuji will alternate the Japanese Grand Prix with Suzuka , starting from 2009 onwards .","Formula One announced On 8 September 2007 , that Fuji will alternate hosting the Japanese Grand Prix with Suzuka . This will start in 2009 ."
The guqin ( simplified\/traditional : å ç ; pinyin : gÇ '' qÃ n ; Wades-Giles ku-ch ` in ; ; literally `` ancient stringed instrument '' ) is the modern name for a plucked seven-string Chinese musical instrument of the zither family .,The ' ( Chinese : å ç ; pinyin : gÇ '' qÃ n ; Wade-Giles : ku-ch ` in ; literally `` ancient stringed-instrument '' ) is the modern name for a plucked seven-string Chinese musical instrument of the zither family .
"With her sister-in-law , Louise Marie AdÃ laÃ de de Bourbon , duchesse d'Orl Ã ans , Bathilde was made to get into an old coach with all her remaining worldly goods and was sent to Spain with her illegitimate daughter .","With her sister-in-law , Louise Marie AdÃ laÃ de de Bourbon , she went to Spain with her illegitimate daughter ."
"Rivkin gained recognition with his publication of the Rivkin Report , in which he would advise what stocks to buy and sell , and provide market analysis .",Rivkin got very sad . Rivkin was put in jail .
Rumst ( old spelling : Rumpst ) ( Google Satellite Image ) is a municipality located in the Belgian province of Antwerp .,Rumst is a municipality located in the Belgian province of Antwerp .
"The names for the human parasite Giardia duodenalis , Giardia lamblia and Giardia intestinalis are all in common current use despite the potential for confusion that this has created .","Giardia lamblia ( synonymous with Lamblia intestinalis and Giardia duodenalis ) is a flagellated protozoan parasite that infects the gastrointestinal tract and causes giardiasis . Giardia affects humans , but is also one of the most common parasites infecting cats , dogs and birds ."
"Alan Stuart `` Al '' Franken ( born May 21 , 1951 ) is the junior United States Senator from Minnesota .","Alan Stuart `` Al '' Franken ( born May 21 , 1951 ) is a United States Senator from Minnesota ."
Noron-l ` Abbaye is a commune in the department of Calvados in the Basse-Normandie region in northwestern France .,Noron-l ` Abbaye is a commune . It is found in the region Basse-Normandie in the Calvados department in the northwest of France .
"In the Tokyo area , there is also a tradition of giving out soba to new neighbors after a house move ( Hikkoshi soba ) , although this practice is now rare .","In the Tokyo area , there is also a tradition of giving out soba to new neighbors after a house move , although this practice is now rare ."
The Immortality-test variation of the Turing test would determine if a person 's essential character is reproduced with enough fidelity to make it impossible to distinguish a reproduction of a person from the original person . The Total Turing test variation of the Turing test adds two further requirements to the traditional Turing test .,The Turing test is a test to see if a computer can trick a person into believing that the computer is a person too .
The line attributed to both Matisse and Picasso that CÃ zanne `` is the father of us all '' can not be easily dismissed .,The line attributed to both Matisse and Picasso that `` CÃ zanne is the father of us all '' is significant .
"In June 2009 it was announced that a new single , `` One More Chance '' , would be released on 10 August 2009 .",In June 2009 they announced that their new single is called One More Chance .
"Its status as an official geological period was ratified in 2004 by the International Union of Geological Sciences ( IUGS ) , making it the first new geological period declared in 120 years .",The status of the Ediacaran as an official geological period was confirmed in 2004 by the International Union of Geological Sciences ( IUGS ) . This made it the first new geological period declared in 120 years .
Hendrik Antoon Lorentz ( 18 July 1853 â `` 4 February 1928 ) was a Dutch physicist who shared the 1902 Nobel Prize in Physics with Pieter Zeeman for the discovery and theoretical explanation of the Zeeman effect .,"Hendrik Antoon Lorentz ( 18 July 1853 â `` 4 February 1928 ) was a Dutch physicist and mathematician . In 1902 , he was awarded the Nobel Prize in Physics together with Pieter Zeeman for the discovery and theoretical explanation of the Zeeman effect ."
"Scottsdale is also home of the International School of Arizona , a non-profit language immersion school that teaches children classes in a foreign language ( French or Spanish ) .","Scottsdale is also home of the International School of Arizona , a non-profit language school that teaches children who speak a foreign language ( French or Spanish ) ."
"Microsoft TechNet is a Microsoft program and resource for technical information , news , and events for IT professionals .","Microsoft TechNet is a website owned by Microsoft , as source for information , news and events for IT professionals ."
The album was re-released in a remastered CD with bonus tracks in August 2003 in the US as Live at Wembley Stadium after the companion DVD .,The album was re-sold in a new CD with bonus tracks in August 2003 in the United States as Live at Wembley Stadium after the DVD .
"Jien records that Itoku was the second or third son of Emperor Annei , but the surviving documents provide no basis for speculating why the elder brother or brothers were passed over .","The GukanshÅ records that Itoku was the second or third son of Emperor Annei , but the surviving documents provide no basis for making guesses about why the elder brother or brothers were passed over ."
The 7th century Tamil Nadu saw the rise of the Pallavas under Mahendravarman I and his son Mamalla Narasimhavarman I. The Pallavas were not a recognized political power before the 2nd century .,The seventh century Tamil Nadu saw the rise of the Pallavas under Mahendravarman I and his son Mamalla Narasimhavarman I. The Pallavas were not a recognized political power before the second century .
"Kingston is the capital and largest city of Jamaica , located on the southeastern coast of the island .",The City of Kingston is the capital and largest city of Jamaica . It is located on the southeastern coast of the island country .
"In addition , U.S. Route 163 , designated in 1970 , is nowhere near U.S. Route 63 . The short U.S. Route 57 , approved ca .","U.S. Route 163 , U.S. Route 400 , U.S. Route 412 , and U.S. Route 425 have 3-digit numbers that do not act as a spur of a 1 or 2 digit route ."
"The amount of energy needed to digest cooked meat is less than raw meat , and cooking gelatinizes collagen and other connective tissues as well , `` opens up tightly woven carbohydrate molecules for easier absorption . ''","The amount of energy needed to digest cooked meat is less than that needed for raw meat , and cooking gelatinizes collagen and other connective tissues as well , it `` opens up tightly woven carbohydrate molecules for easier absorption . ''"
"Today , the modern languages house and an endowed law professorship at the College of William and Mary are named in his honor .","Today , the modern languages house and an endowed law professorship at the College of William and Mary are named for him ."
"In 2003 the circuit was closed down to accommodate a major reprofiling of the track , using a new design from Hermann Tilke .",In 2003 the circuit was closed to for a major reprofiling of the track . A new design from Hermann Tilke was used .
"But it is not necessarily the case that a ZIP file begins with a ZIP entry , and is not required by the ZIP specification .",ZIP files generally use the file extensions '' . ZIP '' and the MIME media type .
"Andrei Arsenyevich Tarkovsky ( April 4 , 1932 â `` December 29 , 1986 ) was a Soviet and Russian filmmaker , writer , film editor , film theorist and opera director , widely regarded as one of the finest filmmakers of the 20th century .","Andrei Arsenyevich Tarkovsky ( April 4 , 1932 - December 29 , 1986 ) was a Soviet film director , writer and opera director ."
"Williams was drafted 3rd overall in the 2005 draft by the Utah Jazz , for whom he played before being traded in the middle of his sixth season to the Nets .",Williams also played for the Utah Jazz from 2005 to 2011 .
"Julie Deborah Kavner ( born September 7 , 1950 ) is an American film and television actress , comedian and voice artist .","Julie Deborah Kavner ( born September 7 , 1950 in Los Angeles , California ) is an Emmy Award-winning American actress , best known for playing Brenda Morgenstern on Rhoda in the 1970s , as an actress in several Woody Allen-directed films and playing the voice of Marge Simpson on the animated television show The Simpsons ."
"Roseraie du Val-de-Marne or Roseraie de L'Ha Ã is a garden devoted to roses established in 1899 on rue Albert Watel in L'Ha Ã - les-Roses , Val-de-Marne , France .","Roseraie du Val-de-Marne is a garden of roses . It was created in 1899 in L'Ha Ã - les-Roses , Val-de-Marne , France ."
"The Canada Border Services Agency ( CBSA ) is a federal law enforcement agency that is responsible for border enforcement , immigration enforcement and customs services .",The Canada Border Services Agency ( CBSA ) is the Canadian government agency with a duty to act as border guards and customs services .
The sea and its mostly uninhabited islands are subject to competing claims of sovereignty by several countries .,The sea and its mostly uninhabited islands are subject to several competing claims of sovereignty by neighboring nations .
"The buzz generated off the back of the single led to another release , `` Banquet\/Staying Fat '' , this time through Moshi Moshi Records , and to the eventual signing with independent label Wichita Recordings in April 2004 .","The success of the track led to the release of another single , `` Banquet '' , which was released by Moshi Moshi Records . They went on to sign with independent label Wichita Recordings in April 2004 ."
"Tiles are generally used for covering roofs , floors , walls , showers , or other objects such as tabletops .","Tiles are generally used for covering roofs , floors , and walls ."
"Her children with Bogart are her son Stephen Humphrey Bogart ( born January 6 , 1949 ) , a news producer , documentary film maker and author ; and her daughter Leslie Bogart ( born August 23 , 1952 ) , a yoga instructor .","Although well known as an actress herself , she also had fame as being the fourth wife of actor Humphrey Bogart . They stayed married until Bogart died in 1957 and had a son ; Stephen ( b. 1949 ) and a daughter , Leslie ( b. 1952 ) ."
"Guests ranged from Truman Capote and Richard Nixon to The Rolling Stones , Herman 's Hermits and Kiss , with an occasional on-camera appearance from Tim Conway ( who would later be discovered at WJW ) .","For example , Truman Capote , The Rolling Stones , Herman 's Hermits and Kiss were on the show ."
"Because it is a known carcinogen , its use as an additive in gasoline is now limited , but it is an important industrial solvent and precursor to basic industrial chemicals including drugs , plastics , synthetic rubber , and dyes .","It is used as an additive in gasoline , plastics , synthetic rubber , dyes and it is an industrial solvent , which means it can dissolve many other chemical molecules ."
"Torvalds began the development of the Linux kernel on MINIX , and applications written for MINIX were also used on Linux .",Linux relied on software code from MINIX at first .
The term classical antiquity is often used to refer to ancient history since the beginning of recorded Greek history in 776 BC ( First Olympiad ) .,The word `` antiquity '' usually means ancient history that is before the start of Ancient Greek history in about 776 BC .
"Gauss 's presumed method was to realize that pairwise addition of terms from opposite ends of the list yielded identical intermediate sums : 1 + 100 = 101 , 2 + 99 = 101 , 3 + 98 = 101 , and so on , for a total sum of 50 Ã -- 101 = 5050 .","Gauss did it quickly , like this : 1 + 100 = 101 , 2 + 99 = 101 , 3 + 98 = 101 , and so on . There were a total of 50 pairs , so 50 Ã -- 101 = 5,050 ."
"It was first administered in November 1959 by Everett Franklin Lindquist as a competitor to the College Board 's Scholastic Aptitude Test , now the SAT Reasoning Test .","It was first given in Fall 1959 by Everett Franklin Lindquist as a competitor to the College Board 's Scholastic Aptitude Test , now the SAT Reasoning Test ."
"Nicolas `` Nico '' HÃ 1\/4 lkenberg ( born 19 August 1987 in Emmerich am Rhein , North Rhine-Westphalia , former West Germany ) is a German professional racing driver .","Nicolas `` Nico '' HÃ 1\/4 lkenberg ( born 19 August 1987 in Emmerich am Rhein , North Rhine-Westphalia ) is a German racing driver ."
"The first mineral discoveries in the Top End were associated with the construction of the Overland Telegraph line between 1870 and 1872 , in the Pine Creek â `` Adelaide River area .","Minerals were found in the Top End during the building of the Overland Telegraph line between 1870 and 1872 , in the Pine Creek â `` Adelaide River area ."
"After Christian is relieved of his burden , he is greeted by three shining ones , who give him the greeting of peace , new garments , and a scroll as a passport into the Celestial City â '' these are allegorical figures indicative of Christian Baptism .","There his burden falls off his back , so he is very relieved . Three shining ones give him the greeting of peace ."
"Timur gained a reputation as a patron of the arts and Samarkand grew to become the center of the region of Transoxiana . During this time the city had a population of about 150,000 .","Timur gained a reputation as a patron of the arts , and Samarkand grew to have a population of about 150,000 ."
"Shi ` as view that Ali , the prophet of Islam 's son-in-law and the progenitor of Muhammad 's only continuing lineage , was given the title during Muhammad 's era .","Shi ` a view that Ali , the prophet of Islam 's son-in-law and the only person to father the prophets only continuing lineage , was given the title during Muhammad 's era ."
"In 1689 Samuel had married Susanna Annesley , twenty-fifth child of Dr. Samuel Annesley , a Dissenter pastor .",In 1869 Samuel married Susanna Annesley .
The freeway then runs along a viaduct through HÄ lawa Valley for about 6 m until it reaches the Tetsuo Harano Tunnels through the Ko ` olau Mountains .,The highway then runs along a viaduct through Halawa Valley for about 6 miles . It then goes through the Tetsuo Harano Tunnels through the Koolau Mountains .
"A monster truck is a pickup truck , typically styled after pickup trucks ' bodies , modified or purposely built with extremely large wheels and suspension .",A monster truck is a vehicle usually styled after a pickup truck . It is changed or purposely built with very big wheels and suspension .
"Young was drafted again on June 5 , 1989 by the Montreal Expos in the 6th round ( 148th overall pick ) of the amateur draft .","Young was drafted again on June 5 , by the Montreal Expos in the 6th round ( 148th overall pick ) of the amateur draft ."
"In 1937 Karajan made his debut with the Berlin Philharmonic and the Berlin State Opera , conducting Fidelio . He then enjoyed a major success at the State Opera with Tristan und Isolde .","In 1937 , Karajan first conducted the Berlin Philharmonic and the Berlin State Opera He was very successful when he conducted Tristan und Isolde ."
"Lesbians portrayed in literature , film , and television often shape contemporary thought about women 's sexuality . The majority of media about lesbians is produced by men ; women 's publishing companies did not develop until the 1970s , films about lesbians made by women did not appear until the 1980s , and television shows portraying lesbians written by women have been created within the past ten years .",Now many important feminist leaders are out ( out means that they make it known that they are lesbians ) lesbians .
"The island is 55 % forests and woodland ( mostly on the mountains ) and 24 % arable land ( mostly on the plains ) , with 15 % going to other purposes . 5 % is permanent pastures and 1 % is permanent crops .","The island is 55 % forest , 24 % farmable lands , 15 % miscellaneous , 5 % pastures , and 1 % crops ."
DGamer is accessible via the Nintendo Wi-Fi Connection or computer via the DGamer Channel on Disney.com .,DGamer can be seen via the Nintendo Wi-Fi Connection or computer via Disney.com .
"In contrast , autoimmune diseases result from a hyperactive immune system attacking normal tissues as if they were foreign organisms .","In contrast , autoimmune diseases result from an immune system that attacks normal tissues as if they were foreign organisms ."
"It has a satellite television service ( DW-TV ) , that is available in four languages , and there is also an online news site .","It has a satellite television service ( DW-TV ) that is available in four languages , and there is also DW-WORLD . DE , a 30-language online news site ."
"Each time a heresy arose in the Church , it was typically accompanied by a shift in worship for the heretical group .","Each time a heresy appeared in the Church , it normally came by a shift in worship for the heretical group ."
"The ACT test has historically consisted of four tests : English , Mathematics , Reading , and Science Reasoning .","The ACT test is made of 4 tests : English , Math , Reading , and Science reasoning ."
"This escape made a deep impression on his mind , and he regarded himself as providentially set apart , as a `` brand plucked from the burning '' quoting Zechariah 3:2 .","This escape made deep impression on his mind , and he regarded himself as proventially set apart , as a `` brand plucked from burning '' ."
"He has the distinction of being one of three drivers to win the GP2 series championship in his maiden season , along with Lewis Hamilton and Nico Rosberg .",He is one of three drivers to win the GP2 series championship in his first season . The other two are Lewis Hamilton and Nico Rosberg .
"New lyrics , which were written by Klimkovich and Uladzimir Karyzny , were adopted by a presidential decree issued on July 2 , 2002 .","The words of the anthem were created by two men , Uladzimir Karyzny and Maxim Klimkovich ."
"Muslim institutions in general , see Vande Mataram in a negative light . Though a number of Muslim organizations and individuals have opposed Vande Mataram being used as a `` national song '' of India , citing many religious reasons , some Muslim personalities have admired and even praised Vande Mataram as the `` National Song of India '' .","Jana Gana Mana was chosen over Vande Mataram as the National Anthem of independent India in January 24 , 1950 , although before this date , Vande Mataram was treated as such ."
"On 26 January 2011 , HÃ 1\/4 lkenberg was confirmed as Force India 's reserve driver for the season , where he would drive for the team in the Friday practice sessions .","After the Abu Dhabi GP , it was anounced that HÃ 1\/4 lkenberg would not race for Williams in 2011 . For the season , he is the third driver for the Force India team ."
"The race began from a standing start , and was a race of approximately 180 kilometres , with a maximum time limit of 69 minutes plus one lap .","The race began from a standing start , and was approximately 180 kilometres . The maximum time limit of 69 minutes plus one lap ."
"He is regarded as one of the first contemporary writers of Arabic literature , along with Tawfiq el-Hakim , to explore themes of existentialism .","He is one of the few writers of Arabic literature , who explored themes of existentialism ."
"Imperial Court in Kyoto was the nominal ruling government of Japan from 794 AD until the Meiji Era , in which the court was moved to Tokyo and integrated into the Meiji government .","Imperial Court in Kyoto was the government of Japan from 794 AD until the Meiji Era , in which the court was moved to Tokyo ."
"Like Jane 's Addiction , many of the most popular early 1990s groups with roots in heavy metal fall under the umbrella term `` alternative metal . '' Bands in Seattle 's grunge scene such as Soundgarden , credited as making a `` place for heavy metal in alternative rock '' , and Alice in Chains were at the center of the alternative metal movement .","In the 1990s , a new form of heavy metal developed , called alternative metal ."
This is an international register of properties that are recognized as having outstanding cultural or natural values of international significance .,This is an international list of places that are have outstanding cultural or natural values of international significance .
"The social structure of bats varies , with some bats leading a solitary life and others living in caves colonized by more than a million bats . The fission-fusion social structure is seen among several species of bats .","Bats are the second largest order of mammals : there are more than 1,100 species of bats ."
Pitta was selected by the Baltimore Ravens in the fourth round ( 114th overall ) of the 2010 NFL Draft .,Pitta was drafted out of the Brigham Young University by the Baltimore Ravens with the 114th pick in the fourth round of the 2010 NFL Draft .
"In the 1910s , Repulse Bay was developed into a beach , and the Repulse Bay Hotel was built in 1920 .","Due to this event , it was named as Repulse Bay ."
"JosÃ Vicente SÃ nchez Felip ( born 8 October 1956 ) , nicknamed Tente , is a former Spanish footballer , who played as a midfielder .","JosÃ Vicente SÃ nchez ( born 8 October , 1956 ) is a former Spanish football player ."
"Dual type PokÃ mon can also suffer from double weaknesses . For example , since Fire-type attacks are super effective against both Grass-types and Bug-types , Parasect , a Bug - and Grass-type PokÃ mon , would take quadruple damage from a fire-type attack .","For example , a Fire-type PokÃ mon is at a disadvantage to a Water-type , but has a large advantage against a Grass-type ."
"Sejanus began a series of purge trials of senators and wealthy equestrians in the city , removing those capable of opposing his power as well as extending the imperial ( and his own ) treasury .","In 29 Sejanus began a series of purge trials of senators and wealthy equestrians in the city , removing those capable of opposing his power , adding to the imperial ( and his own ) treasury ."
"Certain cultivar groups are preferred for particular uses because of differences in flavor , oil content , size , shape , and disease resistance .","Certain types are preferred for particular uses because of differences in flavor , oil content , size , and shape ."
"Yoghurt 's popularity in the United States was enhanced in the 1950s and 1960s , when it was presented as a health food .",In the 1950s and 60s yoghurt became very popular in the United States because it was sold as a health food .
"ç å , Baekje era ) , Hanju ( í ì # 1\/4 ; æ 1\/4 cents å , Silla era ) , Namgyeong ( ë ê 1\/2 ; å -- ä , Goryeo era ) , Hanseong ( í ì ; æ 1\/4 cents å , Baekje and Joseon era ) , Hanyang ( í ì -- ` ; æ 1\/4 cents é 1\/2 , Joseon era ) , Gyeongseong ( ê 1\/2 ì ; ä å , during colonial era ) . Its current name originated from the Korean word meaning `` capital city , '' which is believed to be derived from the word , Seorabeol ( ì ë 1\/4 ë ; å 3\/4 ç 3\/4","During Silla Period ( ì ë 1\/4 ì ë ) , Hanju ( í ì # 1\/4 ) was name of Seoul ."
"Traction motor refers to an electric motor providing the primary rotational torque of a machine , usually for conversion into linear motion ( traction ) .",Traction motor refers to a type of electric motor . A traction motor is used to make rotation torque on a machine .
There were millions of both Bermuda Petrels and `` Bermuda cedars '' ( actually junipers ) in Bermuda when it was settled at the start of the seventeenth century .,There were millions of both Bermuda Petrels and `` Bermuda cedars '' ( actually junipers ) in Bermuda when it was settled at the start of the 17th century .
"The answering machine or message machine , also known as the sales person 's nightmare ( telephone answering machine ( or TAM ) in the UK and some Commonwealth countries ) and previously known as an ansaphone , ansafone , or telephone answering device ( TAD ) is a device for answering telephones and recording callers ' messages .","An answering machine ( other names are answerphone , ansaphone , ansafone and Telephone Answering Device ( TAD ) ) is a machine ."
The taxonomy and systematics of the Sooty\/Pale-tailed Barbthroat complex has caused much confusion .,The taxonomy and systematics of the Sooty Barbthroat complex has made much confusion .
"The word `` transgender '' should be used as an adjective rather than a nounâ '' for example , `` Max is transgender '' or `` Max is a transgender man '' rather than `` Max is a transgender . ''",The common trait for transgender people is that they call themselves `` transgender '' and feel that their given gender is not quite right . Sometimes the word `` transgender '' is also used by people who prefer it to the word `` transsexual '' .
"Tiles are most often made from porcelain , fired clay or ceramic with a hard glaze , but other materials are also commonly used , such as glass , metal , cork , and stone .","Tiles are most often made from ceramic , with a hard glaze finish , but other materials are also commonly used , such as glass ."
"The Four-horned Antelope ( Tetracerus quadricornis ) , or Chousingha , is a small antelope found in open forest in India and Nepal . It is the only species currently classified in the genus Tetracerus .",The four-horned antelope ( Tetracerus quadricornis ) is an animal .
"Miroslav Mentel ( born December 2 , 1962 in Å urany ) is a former Slovak footballer , currently is coach of goalkeepers in Slovakia national football team .",Miroslav Mentel ( born 2 December 1962 ) is a former Slovak football player .
The Ediacaran Period ( ca . 635-542 Mya ) represents the time from the end of global Marinoan glaciation to the first appearance worldwide of somewhat complicated trace fossils ( Treptichnus pedum ) .,The Ediacaran Period represents the time from the end of global Marinoan glaciation to the first appearance worldwide of certain trace fossils ( Trichophycus pedum ) at the base of the Cambrian .
The body was created by the first state constitution adopted in 1818 . The Illinois Senate is made up of 59 senators elected from individual legislative districts determined by population .,"Created in 1818 by the constitution of the first state , the Illinois senate is comprised 59 senators elected from individual legislative districts determined by population ."
He also made contributions to solid-state physics and optics and supervised the work of a number of notable physicists in the 1920s and 30s .,He also made contributions to solid-state physics and optics and supervised the work of a number of important physicists in the 1920s and 30s .
Large saltwater crocodiles are also commonplace and visitors are likely to see them at Yellow Water and East Alligator River so it was no coincidence that the Crocodile Dundee films were shot here .,Large saltwater crocodiles are also common at Yellow Water and the East Alligator River . The Crocodile Dundee movies were made here .
"This DVD release is the first version of the film in the United States to include both Japanese and English language tracks , as Fox did not have the rights to the Japanese audio track for their version .","This DVD release is the first version of the movie in the United States to include both Japanese and English language tracks , as Fox did not have the rights to the Japanese audio track for their version ."
"The Gambia is the smallest country on mainland Africa , bordered to the north , east , and south by Senegal , with a short coastline on the Atlantic Ocean in the west .",Except for its coastline it is completely surrounded by the country of Senegal . The River Gambia flows from Senegal through its center and into the Atlantic Ocean .
"Although not promoted as a soundtrack to the film , it contained all the songs from the film and some additional songs inspired by it by Lebo M. ( Tina Turner recorded a version of `` He Lives in You '' for the film , which is not included on this album ) .","Although not promoted as a soundtrack to the film , it contained all the songs from the movie and some additional songs inspired by it by Lebo M. The complete track list of the CD :"
"Wilhelmus Marinus Anthonius Jansen ( born 28 October 1946 in Rotterdam , Netherlands ) is a Dutch former association football player and manager .",Wim Jansen ( born 28 October 1946 ) is a former Dutch football player . He has played for Netherlands national team .
"Roswell is most popularly known for having its name attached to what is now called the 1947 Roswell UFO incident , even though the crash site of the alleged UFO was some 75 miles from Roswell and closer to Corona .",Roswell is a city in the U.S. state of New Mexico . It is famous for the 1947 Roswell UFO Incident .
"The mill was built in 1861 , and purchased by brothers Charles and Frederick Schwamb in 1864 for the manufacture of circular and elliptical picture frames .","The mill was built in 1861 , and purchased by brothers Charles and Frederick Schwamb in 1864 for the manufacture of picture frames ."
"Yukio Shimomura ( born January 25 , 1932 , in Hiroshima , Japan ) is a Japanese former football player and manager .",Yukio Shimomura ( born January 1932 ) is a former Japanese football player .
"â One Fish , Two Fish , Blowfish , Blue Fishâ is the eleventh episode of The Simpsons second season .","`` One Fish , Two Fish , Blowfish , Blue Fish '' is the eleventh episode of The Simpsons second season ."
"Radjabov is the youngest player ever to make the FIDE Top 100 Players list , therefore he is also established himself as a chess prodigy .",Radjabov is the youngest player ever to make the FIDE Top 100 Players list .
